City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Berlevag,97,NO,1574571861,78,70.86,29.09,40.12,18.5
Arcachon,2,FR,1574571861,91,44.65,-1.18,48.2,1.12
Tulle,62,FR,1574571862,93,45.27,1.77,43.0,3.36
Vila,75,IT,1574571863,100,45.18,8.4,53.01,14.99
Bajil,12,ES,1574571863,87,38.23,-2.07,37.99,13.0
Kavieng,52,PG,1574571634,71,-2.57,150.8,84.13,11.95
Shenkursk,78,RU,1574571864,80,62.11,42.91,14.59,5.88
Nehe,0,CN,1574571864,72,48.48,124.88,9.68,5.88
Nabire,100,ID,1574571684,54,-3.36,135.5,89.73,5.32
Surazh,100,RU,1574571864,41,53.01,32.39,21.06,9.91
Kiunga,66,PG,1574571864,41,-6.12,141.3,92.3,3.87
Sobolevo,100,RU,1574571706,40,54.43,31.9,21.54,9.22
Oistins,40,BB,1574571656,78,13.07,-59.53,80.6,10.29
Narsaq,29,GL,1574571865,49,60.91,-46.05,23.0,3.36
Souillac,30,FR,1574571666,100,45.6,-0.6,43.0,1.12
Pemba,99,MZ,1574571865,74,-12.97,40.52,84.31,9.53
Gidole,67,ET,1574571866,73,5.65,37.37,71.71,3.89
Jalu,14,LY,1574571866,30,29.03,21.55,62.37,10.02
Anadyr,40,RU,1574571702,76,64.73,177.51,-11.2,6.71
Guerrero Negro,100,MX,1574571399,62,27.97,-114.04,66.87,3.09
Ilulissat,100,GL,1574571650,64,69.22,-51.1,37.4,21.92
Keti Bandar,62,PK,1574571867,38,24.14,67.45,82.24,15.66
Leshukonskoye,100,RU,1574571867,90,64.9,45.76,19.22,7.31
Honningsvag,99,NO,1574571695,78,70.98,25.97,39.61,13.27
Mehamn,100,NO,1574571867,81,71.03,27.85,36.27,13.29
Show Low,1,US,1574571868,56,34.25,-110.03,36.0,3.36
Garissa,100,KE,1574571868,82,-0.46,39.64,76.93,8.84
Lithakia,75,GR,1574571868,81,37.72,20.83,53.6,22.86
Xiuyan,93,CN,1574571868,46,40.29,123.27,29.43,23.55
Rome,75,IT,1574571586,82,41.89,12.48,57.0,13.87
Rorvik,37,NO,1574571868,88,64.86,11.24,36.0,1.01
Valparaiso,1,US,1574571780,92,41.47,-87.06,36.0,5.82
Saint-Maximin-la-Sainte-Baume,100,FR,1574571869,93,43.45,5.86,54.0,5.82
Bubaque,23,GW,1574571869,51,11.28,-15.83,81.72,6.42
Bosaso,40,SO,1574571869,94,11.28,49.18,77.0,11.41
Coffs Harbour,36,AU,1574571683,69,-30.3,153.13,80.6,17.22
Narasannapeta,0,IN,1574571870,52,18.42,84.04,83.07,4.34
Rudsar,40,IR,1574571870,81,37.14,50.29,44.6,4.7
Eshowe,100,ZA,1574571870,90,-28.89,31.46,70.77,9.19
Paamiut,97,GL,1574571709,54,61.99,-49.67,32.74,11.52
Mayo,90,CA,1574571871,77,63.59,-135.9,-0.4,2.24
Sokoni,100,CD,1574571871,98,-12.89,28.78,64.0,4.59
Rizhao,100,CN,1574571871,58,35.43,119.46,47.71,25.72
Voi,69,KE,1574571871,74,-3.4,38.57,75.99,3.0
Cobija,100,BR,1574571871,99,-11.02,-68.77,71.38,1.48
Kathu,0,ZA,1574571872,28,-27.7,23.05,64.99,10.36
Provideniya,0,RU,1574571663,76,64.42,-173.23,3.49,5.12
Taitung,75,TW,1574571872,88,22.76,121.15,80.6,11.41
Ayolas,1,PY,1574571872,72,-27.39,-56.84,64.26,10.07
Szecseny,90,HU,1574571872,70,48.08,19.52,46.4,3.36
Kargil,100,PK,1574571873,31,34.56,76.13,16.93,1.12
Mount Isa,33,AU,1574571822,12,-20.73,139.49,102.2,8.05
Nieves,1,MX,1574571873,56,24.0,-103.02,57.29,5.1
Yaan,22,NG,1574571822,89,7.38,8.57,76.06,7.07
Roald,100,NO,1574571701,86,62.58,6.12,41.0,4.7
Concarneau,90,FR,1574571874,93,47.88,-3.92,51.8,13.87
Caxias,5,BR,1574571874,69,-4.87,-43.35,82.4,8.05
Haapiti,75,PF,1574571874,74,-17.57,-149.87,82.4,4.7
Acari,6,BR,1574571874,90,-6.44,-36.64,67.96,8.95
Reinosa,75,ES,1574571874,81,43.0,-4.14,54.0,6.93
Emmett,83,US,1574571874,75,43.87,-116.5,39.0,3.51
Pangody,12,RU,1574571875,100,65.85,74.49,-11.25,3.51
Aberdeen,90,US,1574571668,96,46.98,-123.82,52.0,16.11
Viedma,100,AR,1574571715,34,-40.81,-62.99,67.35,19.93
Saurimo,99,AO,1574571875,97,-9.66,20.4,66.11,5.5
Jiangyou,100,CN,1574571875,75,31.78,104.73,42.3,3.69
Dumas,0,IN,1574571876,61,21.09,72.71,80.6,5.82
Abadan,0,IR,1574571876,62,30.36,48.26,59.0,6.93
Candelaria,60,PH,1574571671,66,13.93,121.42,83.86,8.43
Taebla,37,EE,1574571876,78,58.95,23.74,28.0,7.0
Hailey,5,US,1574571877,73,43.52,-114.32,26.6,8.05
Verkhnyaya Inta,96,RU,1574571877,96,65.99,60.32,23.63,9.04
Phalodi,90,IN,1574571578,41,27.13,72.36,75.96,10.16
Santa Maria,75,BR,1574571660,88,-16.02,-48.01,69.8,2.24
Kieta,99,PG,1574571877,64,-6.22,155.63,84.7,9.35
Nemuro,75,JP,1574571877,100,43.32,145.57,55.4,6.93
Quelimane,40,MZ,1574571877,88,-17.88,36.89,78.8,2.24
Coahuayana,58,MX,1574571878,86,18.62,-100.35,72.1,2.37
Northam,75,AU,1574571878,27,-31.65,116.67,86.0,10.29
Beira,100,ES,1574571878,81,43.2,-8.36,53.01,13.87
Batticaloa,100,LK,1574571878,79,7.71,81.69,82.08,6.2
Sandpoint,90,US,1574571713,93,48.28,-116.55,37.4,6.93
San Carlos de Bariloche,40,AR,1574571878,81,-41.13,-71.31,51.8,12.75
Margau,0,NG,1574571879,24,12.16,6.4,75.65,8.68
Half Moon Bay,20,US,1574571879,76,37.46,-122.43,57.99,8.05
Inuvik,20,CA,1574571641,84,68.36,-133.71,-0.4,4.99
Hanmer Springs,100,NZ,1574571879,50,-42.52,172.83,67.5,3.44
Preobrazheniye,100,RU,1574571880,85,42.9,133.91,31.59,9.17
Khash,0,IR,1574571880,30,28.22,61.21,49.21,6.35
Bagotville,7,AU,1574571880,37,-28.98,153.42,91.4,17.22
Cotacachi,75,EC,1574571880,100,0.3,-78.27,53.6,2.24
Upington,0,ZA,1574571881,44,-28.46,21.24,57.2,3.36
Trinidad,91,BO,1574571674,95,-14.83,-64.9,73.02,1.07
Gizo,0,IL,1574571881,77,31.8,34.94,59.0,2.24
Itarema,58,BR,1574571623,93,-2.92,-39.92,75.65,4.43
Jabinyanah,40,TN,1574571881,87,35.03,10.91,53.6,13.87
Cajazeiras,4,BR,1574571881,93,-6.89,-38.56,69.31,2.91
Road Town,40,VG,1574571882,65,18.42,-64.62,78.8,4.7
Dunedin,2,NZ,1574571780,70,-45.87,170.5,57.99,30.0
King City,75,CA,1574571611,92,43.93,-79.54,39.2,2.24
Lukow,0,PL,1574571882,50,51.93,22.38,36.0,15.08
Chern,44,RU,1574571882,37,53.45,36.91,21.47,7.25
La Primavera,40,AR,1574571884,88,-32.92,-68.67,69.8,4.7
North Augusta,1,CA,1574571884,92,44.76,-75.74,34.0,3.13
Rovaniemi,90,FI,1574571884,100,66.5,25.72,30.2,11.41
Hanchuan,100,CN,1574571884,59,30.65,113.83,60.8,15.66
Nkawkaw,29,GH,1574571884,99,6.55,-0.77,71.37,1.5
Juneau,90,US,1574571585,93,58.3,-134.42,37.4,12.75
Agirish,89,RU,1574571885,95,61.92,63.02,12.83,2.86
San Policarpo,100,PH,1574571645,75,12.18,125.51,84.07,12.55
Sioux Lookout,90,CA,1574571688,86,50.1,-91.92,33.8,10.29
Djambala,99,CG,1574571885,89,-2.55,14.76,71.55,1.52
Sakti,46,ID,1574571885,64,-3.09,120.21,81.18,3.74
Azul,15,AR,1574571885,78,-36.78,-59.86,55.0,8.01
Mercedes,3,UY,1574571886,70,-33.25,-58.03,61.0,4.0
Bima,17,ID,1574571886,48,-8.45,118.73,88.79,5.79
Languyan,75,FR,1574571886,100,48.3,-3.83,52.0,9.17
Englewood,1,US,1574571687,80,39.65,-104.99,39.2,8.08
Evensk,100,RU,1574571660,88,61.92,159.24,9.73,12.66
Ciomas,77,ID,1574571887,45,-6.85,108.3,88.56,5.5
Samarai,2,PG,1574571665,65,-10.62,150.67,80.64,11.07
Kolobrzeg,0,PL,1574571887,10,54.18,15.58,34.0,10.51
Camacha,20,PT,1574571698,88,33.08,-16.33,64.4,6.93
Pimentel,22,BR,1574571888,94,-3.7,-45.5,72.99,2.62
Nadym,56,RU,1574571888,99,65.53,72.51,-10.37,4.07
Merauke,78,ID,1574571888,57,-8.49,140.4,87.67,11.32
Mount Pleasant,1,US,1574571815,93,33.16,-94.97,42.8,4.52
Jiuquan,0,CN,1574571889,38,39.73,98.49,23.94,6.76
Challapata,100,BO,1574571889,68,-18.9,-66.78,51.87,7.9
Beni Suef,1,EG,1574571889,56,29.07,31.1,63.37,2.01
Coruripe,21,BR,1574571889,83,-10.12,-36.18,75.69,11.54
Eyrarbakki,74,IS,1574571889,74,63.86,-21.15,33.8,2.24
Storozhevaya,0,RU,1574571889,33,43.89,41.46,37.31,3.69
Dukat,85,AL,1574571890,74,40.25,19.57,60.01,3.0
Vestmannaeyjar,98,IS,1574571890,79,63.44,-20.27,42.03,11.36
Sabha,0,LY,1574571890,19,27.03,14.43,63.7,8.5
Diego de Almagro,0,CL,1574571890,80,-26.39,-70.05,52.93,2.06
Tizimin,0,MX,1574571891,94,21.14,-88.15,68.25,1.97
Tokur,100,RU,1574571891,94,53.13,132.9,-9.44,3.74
Pacific Grove,1,US,1574571718,66,36.62,-121.92,57.99,9.37
New Richmond,20,CA,1574571891,73,48.17,-65.87,23.0,9.17
Hamilton,75,CA,1574571604,91,43.26,-79.87,37.99,3.36
Yermakovskoye,98,RU,1574571891,80,53.28,92.4,11.14,4.41
Saint-Joseph,75,FR,1574571892,87,43.56,6.97,53.6,9.17
Nouadhibou,6,MR,1574571892,75,20.93,-17.03,66.99,15.79
Pittsburg,1,US,1574571892,57,38.02,-121.89,57.99,4.7
Owo,92,NG,1574571892,90,7.2,5.59,76.98,2.06
